method,normalization,theta,rho,lambda,alpha,beta,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
generalized_inverse,max,1.0,3.0,2.25,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14313152746388058,4,0.7780920028636502,2,0.4898432544309248,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12125049395811445,4,0.7960806439272733,2,0.4445358908644977,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12125049395811445,4,0.7960806439272733,2,0.4445358908644977,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12125049395811445,4,0.7960806439272733,2,0.4445358908644977,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24447059593547463,4,0.6824147326883812,2,0.6144803672149017,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24447059593547463,4,0.6824147326883812,2,0.6144803672149017,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24447059593547463,4,0.6824147326883812,2,0.6144803672149017,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.1431531326566095,4,0.778478146058328,2,0.4902314679909899,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.1431531326566095,4,0.778478146058328,2,0.4902314679909899,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.1431531326566095,4,0.778478146058328,2,0.4902314679909899,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12126621478774148,4,0.7962697353473925,2,0.4447365567654869,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12126621478774148,4,0.7962697353473925,2,0.4447365567654869,3,0.0,5
generalized_inverse,max,1.0,3.0,3.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12126621478774148,4,0.7962697353473925,2,0.4447365567654869,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24455896735847685,4,0.6858437623340945,2,0.6175696757423069,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24455896735847685,4,0.6858437623340945,2,0.6175696757423069,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24455896735847685,4,0.6858437623340945,2,0.6175696757423069,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14317909234677825,4,0.7789421158928308,2,0.4906979254702305,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14317909234677825,4,0.7789421158928308,2,0.4906979254702305,3,0.0,5
